City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
248,Norman Wells,65.282,-126.8329,39.24,87,75,3.44,CA,1660208081
249,Biak,-0.9131,122.8766,79.34,83,85,4.03,ID,1660208631
250,Tasiilaq,65.6145,-37.6368,37.56,75,99,2.28,GL,1660208693
251,Goubellat,36.5418,9.6633,87.33,40,0,4.79,TN,1660208694
252,Lavrentiya,65.5833,-171.0,41.81,98,60,3.2,RU,1660208695
253,Martapura,-3.4167,114.85,89.69,62,40,3.44,ID,1660208696
254,George Town,5.4112,100.3354,89.53,70,20,12.66,MY,1660208697
255,Masallātah,32.6167,14.0,83.1,51,0,5.23,LY,1660208699
256,Mahrīz,31.5917,54.4318,91.89,19,0,10.38,IR,1660208699
257,Elverum,60.8819,11.5623,73.99,41,33,8.84,NO,1660208700
258,Saint Lawrence,36.0553,14.204,85.41,72,0,3.0,MT,1660208701
259,Loikaw,19.6742,97.2094,80.1,79,51,5.39,MM,1660208702
260,Cape Town,-33.9258,18.4232,60.39,81,100,10.0,ZA,1660208689
261,Tautira,-17.7333,-149.15,76.98,78,4,15.84,PF,1660208480
262,Bandrele,-12.9067,45.1914,80.35,61,20,14.97,YT,1660208705
263,Shubarkuduk,49.1447,56.4872,89.62,23,0,7.43,KZ,1660208706
264,Ust'-Ishim,57.6935,71.1665,78.87,40,13,4.25,RU,1660208707
265,Cidreira,-30.1811,-50.2056,53.89,88,49,4.59,BR,1660208708
266,Esim,4.8699,-2.2405,77.67,76,100,9.28,GH,1660208709
267,Shenjiamen,29.9576,122.298,83.82,81,74,14.94,CN,1660208710
268,Carauari,-4.8828,-66.8958,68.11,99,70,2.46,BR,1660208710
269,Zamora,-4.0692,-78.9567,65.03,100,100,3.2,EC,1660208712
270,Seydi,39.4816,62.9137,92.82,16,0,15.57,TM,1660208713
271,Herat Province,34.5,62.0,83.79,16,0,37.71,AF,1660208430
272,Lompoc,34.6391,-120.4579,60.53,98,100,3.44,US,1660208715
273,Faanui,-16.4833,-151.75,78.04,72,8,9.71,PF,1660208716
274,Mitchell,43.7094,-98.0298,72.1,92,72,1.99,US,1660208425
275,Hofn,64.2539,-15.2082,51.08,81,12,2.57,IS,1660208717
276,Natitingou,10.3042,1.3796,77.02,79,94,10.13,BJ,1660208718
277,Prainha,-1.8,-53.48,71.92,74,91,3.18,BR,1660208719
278,Konde,-4.95,39.75,78.58,69,45,10.69,TZ,1660208720
279,Naze,28.3667,129.4833,81.75,75,100,2.15,JP,1660208722
280,Puerto del Rosario,28.5004,-13.8627,73.15,68,40,14.97,ES,1660208723
281,Luís Correia,-2.8792,-41.6669,74.93,81,48,14.16,BR,1660208724
282,Souillac,-20.5167,57.5167,70.25,65,42,20.18,MU,1660208473
283,Paamiut,61.994,-49.6678,42.58,96,100,9.78,GL,1660208726
284,Raipur,21.2333,81.6333,80.74,83,100,14.97,IN,1660208727
285,Kiunga,-6.1219,141.2906,74.52,98,82,2.91,PG,1660208728
286,Dolores,-36.3132,-57.6792,40.87,93,0,7.65,AR,1660208729
287,Bara,10.3744,10.7288,70.38,90,100,7.54,NG,1660208730
288,Umm Hājar,13.2954,19.6966,81.28,64,100,8.25,TD,1660208730
289,Santiago del Estero,-27.7951,-64.2615,48.54,62,39,8.88,AR,1660208726
290,Sioux Lookout,50.1001,-91.917,47.3,71,0,2.73,CA,1660208733
291,Tocopilla,-22.092,-70.1979,57.16,70,37,1.88,CL,1660208515
292,Terrace Bay,48.7834,-87.1,48.38,73,0,7.31,CA,1660208734
293,Chase,50.8165,-119.6857,66.07,78,52,1.66,CA,1660208735
294,Luang Prabang,19.8856,102.1347,74.53,100,100,1.59,LA,1660208736
295,Vikhorevka,56.1201,101.1636,65.79,71,89,7.34,RU,1660208737
296,Plaster Rock,46.9065,-67.39,63.12,97,100,3.69,CA,1660208738
297,Honningsvåg,70.9821,25.9704,55.15,76,75,27.63,NO,1660208592
298,Along,28.1667,94.7667,96.31,49,49,5.3,IN,1660208740
299,Anadyr,64.75,177.4833,57.96,75,100,3.6,RU,1660208741
300,Kawalu,-7.3817,108.2082,77.59,86,75,5.53,ID,1660208803
301,La Romana,18.4273,-68.9728,76.75,88,100,7.74,DO,1660208803
302,Lata,40.1629,-8.3327,75.06,53,0,2.3,PT,1660208805
303,Simao,22.7886,100.9748,79.41,80,77,3.22,CN,1660208805
304,Banda Aceh,5.5577,95.3222,85.95,64,89,14.7,ID,1660208806
305,Plouzané,48.3833,-4.6167,79.12,53,0,6.91,FR,1660208572
306,Kindu,-2.95,25.95,94.73,18,94,5.95,CD,1660208808
307,Venado Tuerto,-33.7456,-61.9688,43.77,92,0,9.55,AR,1660208808
308,Bikaner,28.0167,73.3,96.28,45,78,20.78,IN,1660208809
309,Gamboma,-1.8764,15.8644,88.07,39,100,8.23,CG,1660208810
310,San Francisco,37.7749,-122.4194,64.85,92,20,16.11,US,1660208561
311,Meulaboh,4.1363,96.1285,84.0,65,99,5.14,ID,1660208813
312,College,64.8569,-147.8028,48.15,81,20,6.91,US,1660208814
313,Pacific Grove,36.6177,-121.9166,63.01,89,6,1.99,US,1660208815
314,Kachug,53.9606,105.8817,64.83,77,87,6.4,RU,1660208816
315,Huty,50.1332,35.3439,86.43,36,95,17.67,UA,1660208817
316,Mahibadhoo,3.7833,72.9667,82.0,75,42,5.79,MV,1660208818
317,Syracuse,37.0881,15.2792,83.57,59,2,5.46,IT,1660208449
318,Krasnorechenskiy,44.6265,135.3532,65.08,94,100,4.34,RU,1660208819
319,Bandarbeyla,9.4942,50.8122,85.44,57,100,28.39,SO,1660208820
320,Ina,35.8276,137.9538,83.46,67,87,6.69,JP,1660208536
321,Itoman,26.1247,127.6694,87.82,70,75,9.22,JP,1660208822
322,‘Ewa Beach,21.3156,-158.0072,80.55,66,0,20.71,US,1660208823
323,Sheltozero,61.3667,35.3667,69.6,52,100,14.99,RU,1660208824
324,Bryan,30.6744,-96.37,76.89,85,0,0.0,US,1660208780
325,Ndola,-12.9587,28.6366,75.87,23,6,8.23,ZM,1660208825
326,Okhotsk,59.3833,143.3,57.09,95,100,6.13,RU,1660208826
327,Freeport,40.6576,-73.5832,77.02,82,100,6.44,US,1660208253
328,Longyan,25.1072,117.0225,85.37,69,81,3.98,CN,1660208828
329,Hazorasp,41.3194,61.0742,89.44,18,0,12.48,UZ,1660208828
330,Gornyye Klyuchi,45.25,133.5,69.69,92,74,11.05,RU,1660208829
331,Marinette,45.1,-87.6307,61.29,88,100,6.91,US,1660208830
332,Vanimo,-2.6741,141.3028,79.3,83,64,3.27,PG,1660208831
333,Sur,22.5667,59.5289,96.24,50,100,4.74,OM,1660208833
334,Fort Frances,48.5999,-93.4003,50.05,68,0,0.0,CA,1660208834
335,Paka,4.6374,103.4368,86.81,67,98,13.04,MY,1660208835
336,Sokol,59.4617,40.1206,71.02,44,29,7.83,RU,1660208837
337,Ambo,-10.1308,-76.2047,57.56,89,94,0.85,PE,1660208837
338,Adré,13.4667,22.2,82.0,60,95,4.21,TD,1660208838
339,Tete,-16.1564,33.5867,82.49,47,40,9.22,MZ,1660208839
340,Impfondo,1.6381,18.0667,85.19,55,98,5.68,CG,1660208841
341,Buluang,13.3068,123.3425,81.66,84,99,1.79,PH,1660208842
342,Prince Rupert,54.3161,-130.3201,56.26,93,25,6.78,CA,1660208843
343,Ilebo,-4.3167,20.5833,96.8,15,96,0.69,CD,1660208844
344,Liuhe,42.2401,125.7172,71.08,91,52,6.78,CN,1660208845
345,Pangoa,-12.1167,-73.0,61.03,99,35,1.72,PE,1660208846
346,Shakawe,-18.3667,21.85,81.93,11,0,6.58,BW,1660208847
347,Minas,-34.3759,-55.2377,41.0,91,10,5.35,UY,1660208847
348,Boksitogorsk,59.474,33.8485,72.61,42,78,9.19,RU,1660208849
349,Arrondissement de Bourges,47.25,2.4167,81.64,23,1,13.0,FR,1660208825
350,Iquitos,-3.7481,-73.2472,70.56,98,100,3.09,PE,1660208695
351,Mayo,38.8876,-76.5119,74.98,93,75,1.99,US,1660208911
352,Shahrud,36.4182,54.9763,84.67,17,0,11.56,IR,1660208912
353,Vestmannaeyjar,63.4427,-20.2734,50.99,87,75,11.5,IS,1660208913
354,Fairbanks,64.8378,-147.7164,48.16,81,0,6.91,US,1660208733
